9/02/2025 8:00:09 pm: Login button clicked
9/02/2025 8:00:11 pm: Login successful
9/02/2025 8:00:11 pm: Main form constructor started
9/02/2025 8:00:11 pm: ESP object created
9/02/2025 8:00:11 pm: ESP checkbox setup complete
9/02/2025 8:00:11 pm: ESP initialization started
9/02/2025 8:00:11 pm: ESP loop started
9/02/2025 8:00:11 pm: Starting game process initialization
9/02/2025 8:00:11 pm: Running in 64-bit mode: True
9/02/2025 8:00:11 pm: Found 1 CS2 processes
9/02/2025 8:00:11 pm: Selected CS2 process ID: 23204
9/02/2025 8:00:11 pm: Checking module: cs2.exe
9/02/2025 8:00:11 pm: Checking module: ntdll.dll
9/02/2025 8:00:11 pm: Checking module: KERNEL32.DLL
9/02/2025 8:00:11 pm: Checking module: KERNELBASE.dll
9/02/2025 8:00:11 pm: Checking module: USER32.dll
9/02/2025 8:00:11 pm: Checking module: win32u.dll
9/02/2025 8:00:11 pm: Checking module: GDI32.dll
9/02/2025 8:00:11 pm: Checking module: gdi32full.dll
9/02/2025 8:00:11 pm: Checking module: msvcp_win.dll
9/02/2025 8:00:11 pm: Checking module: ucrtbase.dll
9/02/2025 8:00:11 pm: Checking module: IMM32.DLL
9/02/2025 8:00:11 pm: Checking module: gameoverlayrenderer64.dll
9/02/2025 8:00:11 pm: Checking module: ADVAPI32.dll
9/02/2025 8:00:11 pm: Checking module: msvcrt.dll
9/02/2025 8:00:11 pm: Checking module: sechost.dll
9/02/2025 8:00:11 pm: Checking module: bcrypt.dll
9/02/2025 8:00:11 pm: Checking module: RPCRT4.dll
9/02/2025 8:00:11 pm: Checking module: ole32.dll
9/02/2025 8:00:11 pm: Checking module: combase.dll
9/02/2025 8:00:11 pm: Checking module: OLEAUT32.dll
9/02/2025 8:00:11 pm: Checking module: PSAPI.DLL
9/02/2025 8:00:11 pm: Checking module: CFGMGR32.dll
9/02/2025 8:00:11 pm: Checking module: WINMM.dll
9/02/2025 8:00:11 pm: Checking module: wintrust.dll
9/02/2025 8:00:11 pm: Checking module: CRYPT32.dll
9/02/2025 8:00:11 pm: Checking module: MSASN1.dll
